????常看频道,#genre#
凤凰卫视资讯台,http://39.135.33.60/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221226324/index.m3u8
凤凰卫视资讯台,http://39.135.33.61/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221226324/index.m3u8
凤凰卫视资讯台,http://39.135.33.62/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221226324/index.m3u8
凤凰卫视资讯台,http://39.135.33.63/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221226324/index.m3u8
凤凰卫视资讯台,http://39.135.33.57/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221226324/index.m3u8
凤凰卫视资讯台,http://39.135.33.64/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221226324/index.m3u8
凤凰卫视资讯台,http://39.135.33.65/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221226324/index.m3u8
凤凰卫视资讯台,http://39.135.33.66/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221226324/index.m3u8
凤凰卫视资讯台,http://39.135.33.67/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221226324/index.m3u8
凤凰卫视资讯台,http://39.135.33.68/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221226324/index.m3u8
凤凰卫视资讯台,http://39.135.33.69/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221226324/index.m3u8
凤凰卫视资讯台,http://39.135.33.70/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221226324/index.m3u8
凤凰卫视资讯台,http://39.135.33.209/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221226324/index.m3u8
凤凰卫视资讯台,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226324/index.m3u8?servicetype=1
凤凰卫视资讯台,http://60.178.149.51:4022/udp/233.50.200.192:5140#http://122.233.152.236:4022/udp/233.50.200.192:5140
凤凰卫视中文台,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226331/index.m3u8?servicetype=1
凤凰卫视中文台,http://39.135.46.246:6610/PLTV/77777777/224/3221226331/index.m3u8?servicetype=1
凤凰卫视中文台,http://39.135.33.12/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221226331/index.m3u8
凤凰卫视中文台,http://39.135.46.98:6610/PLTV/77777777/224/3221226331/index.m3u8?servicetype=1
凤凰卫视中文台,http://39.135.46.100:6610/PLTV/77777777/224/3221226331/index.m3u8?servicetype=1
凤凰卫视中文台,http://39.135.46.101:6610/PLTV/77777777/224/3221226331/index.m3u8?servicetype=1
凤凰卫视中文台,http://39.135.46.103:6610/PLTV/77777777/224/3221226331/index.m3u8?servicetype=1
凤凰卫视中文台,http://39.135.46.102:6610/PLTV/77777777/224/3221226331/index.m3u8?servicetype=1
凤凰卫视中文台,http://39.135.46.104:6610/PLTV/77777777/224/3221226331/index.m3u8?servicetype=1
凤凰卫视中文台,http://39.135.46.105:6610/PLTV/77777777/224/3221226331/index.m3u8?servicetype=1
凤凰卫视中文台,http://39.135.46.108:6610/PLTV/77777777/224/3221226331/index.m3u8?servicetype=1
凤凰卫视中文台,http://39.135.46.109:6610/PLTV/77777777/224/3221226331/index.m3u8?servicetype=1
凤凰卫视中文台,http://39.135.46.110:6610/PLTV/77777777/224/3221226331/index.m3u8?servicetype=1
凤凰卫视中文台,http://39.135.46.111:6610/PLTV/77777777/224/3221226331/index.m3u8?servicetype=1
凤凰卫视中文台,http://39.135.46.112:6610/PLTV/77777777/224/3221226331/index.m3u8?servicetype=1
凤凰卫视中文台,http://39.135.46.113:6610/PLTV/77777777/224/3221226331/index.m3u8?servicetype=1
凤凰卫视中文台,http://39.135.46.226:6610/PLTV/77777777/224/3221226331/index.m3u8?servicetype=1
